id,kode_provinsi,nama_provinsi,jumlah_pengeluaran_per_kapita,satuan,tahun
220,3600,BANTEN,11469.0,RIBU RUPIAH,2016
221,5100,BALI,13279.0,RIBU RUPIAH,2016
222,5200,NUSA TENGGARA BARAT,9575.0,RIBU RUPIAH,2016
223,5300,NUSA TENGGARA TIMUR,7122.0,RIBU RUPIAH,2016
224,6100,KALIMANTAN BARAT,8348.0,RIBU RUPIAH,2016
225,6200,KALIMANTAN TENGAH,10155.0,RIBU RUPIAH,2016
226,6300,KALIMANTAN SELATAN,11307.0,RIBU RUPIAH,2016
227,6400,KALIMANTAN TIMUR,11355.0,RIBU RUPIAH,2016
228,6500,KALIMANTAN UTARA,8434.0,RIBU RUPIAH,2016
229,7100,SULAWESI UTARA,10148.0,RIBU RUPIAH,2016
230,7200,SULAWESI TENGAH,9034.0,RIBU RUPIAH,2016
231,7300,SULAWESI SELATAN,10281.0,RIBU RUPIAH,2016
232,7400,SULAWESI TENGGARA,8871.0,RIBU RUPIAH,2016
233,7500,GORONTALO,9175.0,RIBU RUPIAH,2016
234,7600,SULAWESI BARAT,8450.0,RIBU RUPIAH,2016
235,8100,MALUKU,8215.0,RIBU RUPIAH,2016
236,8200,MALUKU UTARA,7545.0,RIBU RUPIAH,2016
237,9100,PAPUA BARAT,7175.0,RIBU RUPIAH,2016
238,9400,PAPUA,6637.0,RIBU RUPIAH,2016
239,1100,ACEH,8957.0,RIBU RUPIAH,2017
240,1200,SUMATERA UTARA,10036.0,RIBU RUPIAH,2017
241,1300,SUMATERA BARAT,10306.0,RIBU RUPIAH,2017
242,1400,RIAU,10677.0,RIBU RUPIAH,2017
243,1500,JAMBI,9880.0,RIBU RUPIAH,2017
244,1600,SUMATERA SELATAN,10220.0,RIBU RUPIAH,2017
245,1700,BENGKULU,9778.0,RIBU RUPIAH,2017
246,1800,LAMPUNG,9413.0,RIBU RUPIAH,2017
247,1900,KEP. BANGKA BELITUNG,12066.0,RIBU RUPIAH,2017
248,2100,KEPULAUAN RIAU,13566.0,RIBU RUPIAH,2017
249,3100,DKI JAKARTA,17707.0,RIBU RUPIAH,2017
250,3200,JAWA BARAT,10285.0,RIBU RUPIAH,2017
251,3300,JAWA TENGAH,10377.0,RIBU RUPIAH,2017
252,3400,D I YOGYAKARTA,13521.0,RIBU RUPIAH,2017
253,3500,JAWA TIMUR,10973.0,RIBU RUPIAH,2017
254,3600,BANTEN,11659.0,RIBU RUPIAH,2017
255,5100,BALI,13573.0,RIBU RUPIAH,2017
256,5200,NUSA TENGGARA BARAT,9877.0,RIBU RUPIAH,2017
257,5300,NUSA TENGGARA TIMUR,7350.0,RIBU RUPIAH,2017
258,6100,KALIMANTAN BARAT,8472.0,RIBU RUPIAH,2017
259,6200,KALIMANTAN TENGAH,10492.0,RIBU RUPIAH,2017
260,6300,KALIMANTAN SELATAN,11600.0,RIBU RUPIAH,2017
261,6400,KALIMANTAN TIMUR,11612.0,RIBU RUPIAH,2017
262,6500,KALIMANTAN UTARA,8643.0,RIBU RUPIAH,2017
263,7100,SULAWESI UTARA,10422.0,RIBU RUPIAH,2017
264,7200,SULAWESI TENGAH,9311.0,RIBU RUPIAH,2017
265,7300,SULAWESI SELATAN,10489.0,RIBU RUPIAH,2017
266,7400,SULAWESI TENGGARA,9094.0,RIBU RUPIAH,2017
267,7500,GORONTALO,9532.0,RIBU RUPIAH,2017
268,7600,SULAWESI BARAT,8736.0,RIBU RUPIAH,2017
269,8100,MALUKU,8433.0,RIBU RUPIAH,2017
270,8200,MALUKU UTARA,7792.0,RIBU RUPIAH,2017
271,9100,PAPUA BARAT,7493.0,RIBU RUPIAH,2017
272,9400,PAPUA,6996.0,RIBU RUPIAH,2017
273,1100,ACEH,9186.0,RIBU RUPIAH,2018
274,1200,SUMATERA UTARA,10391.0,RIBU RUPIAH,2018
275,1300,SUMATERA BARAT,10638.0,RIBU RUPIAH,2018
276,1400,RIAU,10968.0,RIBU RUPIAH,2018
277,1500,JAMBI,10357.0,RIBU RUPIAH,2018
278,1600,SUMATERA SELATAN,10652.0,RIBU RUPIAH,2018
